buildingname,buildingaddress,buildingtype,mainbuildingfunction,buildingsize,yearobtainedtopcsc,greenmarkrating,greenmarkyearofaward,greenmarkversion,grossfloorarea,percentageofairconditionedfloorarea,averagemonthlybuildingoccupancyrate,numberofhotelrooms,typeofairconditioningsystem,ageofchiller,centralisedairconditioningplantefficiency,yearoflastchillerplantaudithealthcheck,percentageusageofled,installationofsolarpv,2017,2018,2019,2020
COLLEGE OF MEDICINE BUILDING,"16 COLLEGE ROAD, SINGAPORE 169854",Commercial Building,Office,Omit,1911,Platinum,2020,Existing Building for Non-Residential buildings (version 3),"27,838",76%,100%,N/A,Others,8,0.67,2020,0%,N,121.37,119.03,122.59,89.09
ISCA HOUSE,"60 CECIL STREET, SINGAPORE 049709",Commercial Building,Office,Small,1979,N/A,N/A,N/A,"2,644",100%,100%,N/A,Others,6,N/A,N/A,5%,N,278.03,312.15,297.53,233.38
BOC PLAZA,"133 MIDDLE ROAD, SINGAPORE 188974",Commercial Building,Office,Small,1983,N/A,N/A,N/A,"4,736",100%,100%,N/A,Others,5,N/A,N/A,15%,N,188.20,208.38,211.35,190.25
BANK OF CHINA BUILDING,"4 BATTERY ROAD, SINGAPORE 049908",Commercial Building,Office,Large,1953,N/A,N/A,N/A,"15,480",100%,95%,N/A,Others,2,N/A,N/A,12%,N,366.54,373.41,353.85,301.98
HONG LEONG BUILDING,"16 RAFFLES QUAY, SINGAPORE 048581",Commercial Building,Office,Large,1980,N/A,N/A,N/A,"47,744",92%,94%,N/A,Water Cooled Chilled Water Plant,9,0.7,2010,60%,N,266.48,255.68,269.84,224.29
20 COLLYER QUAY,"20 COLLYER QUAY, SINGAPORE 049319",Commercial Building,Office,Large,1985,N/A,N/A,N/A,"34,736",80%,96%,N/A,Water Cooled Chilled Water Plant,7,0.9,2013,30%,N,193.19,189.24,188.00,167.87
N/A,"175A CHIN SWEE ROAD, SINGAPORE 169879",Commercial Building,Hotel,Small,2008,Certified,2018,Existing Building for Non-Residential buildings (version 2.1),"6,086",89%,90%,140,Water Cooled Packaged Unit,9,N/A,N/A,70%,N,377.96,348.34,354.54,271.89
N/A,"158 CECIL STREET, SINGAPORE 069545",Commercial Building,Office,Small,2009,Gold,2019,Existing Building for Non-Residential buildings (version 3),"11,977",83%,93%,N/A,Others,10,N/A,N/A,10%,N,224.89,218.26,202.95,137.51
MEWAH BUILDING,"5 INTERNATIONAL BUSINESS PARK, SINGAPORE 609914",Commercial Building,Office,Small,1995,N/A,N/A,N/A,"7,433",64%,100%,N/A,Others,2,1.41,2012,90%,N,130.70,110.24,113.65,111.64
CONCORDE SHOPPING CENTRE,"317 OUTRAM ROAD, SINGAPORE 169075",Commercial Building,Hotel,Large,1986,GoldPlus,2018,Existing Building for Non-Residential buildings (version 3),"54,042",78%,94%,515,Water Cooled Chilled Water Plant,0,0.55,2018,38%,N,267.11,216.34,212.63,169.19
ABI PLAZA,"11 KEPPEL ROAD, SINGAPORE 089057",Commercial Building,Office,Small,1994,N/A,N/A,N/A,"12,586",11%,80%,N/A,Water Cooled Chilled Water Plant,1,N/A,N/A,20%,N,188.85,179.58,154.40,143.56
THE SIGNATURE,"51 CHANGI BUSINESS PARK CENTRAL 2, SINGAPORE 486066",Commercial Building,Office,Large,2002,Gold,2019,Existing Building for Non-Residential buildings (version 3),"47,410",69%,88%,N/A,District Cooling Plant,5.35,N/A,N/A,10%,N,131.91,131.99,138.02,122.00
TANGLIN SHOPPING CENTRE,"19 TANGLIN ROAD, SINGAPORE 247909",Commercial Building,Mixed Development,Large,1970,N/A,N/A,N/A,"24,377",92%,80%,N/A,Water Cooled Chilled Water Plant,2,N/A,N/A,10%,N,218.77,208.77,211.37,189.70
SIM LIM SQUARE,"1 ROCHOR CANAL ROAD, SINGAPORE 188504",Commercial Building,Retail,Large,1987,Gold,2019,Existing Building for Non-Residential buildings (version 3),"36,325",78%,89%,N/A,Water Cooled Chilled Water Plant,3,0.64,2019,100%,N,411.76,422.32,288.31,259.91
AMARA SINGAPORE,"165 TANJONG PAGAR ROAD, SINGAPORE 088539",Commercial Building,Mixed Development,Large,1998,GoldPlus,2019,Existing Building for Non-Residential buildings (version 3),"52,095",82%,91%,384,Water Cooled Chilled Water Plant,4,0.65,2020,60%,N,361.75,335.47,345.35,288.81
N/A,"1 LARKHILL ROAD, SINGAPORE 099394",Commercial Building,Hotel,Large,2007,Platinum,2019,Existing Building for Non-Residential buildings (version 3),"15,020",74%,80%,140,Water Cooled Chilled Water Plant,1,0.6,2019,90%,N,418.67,401.16,316.15,209.34
HOTEL FORT CANNING,"11 CANNING WALK, SINGAPORE 178881",Commercial Building,Hotel,Small,2012,GoldPlus,2015,Existing Building for Non-Residential buildings (version 3),"8,922",100%,65%,86,Water Cooled Chilled Water Plant,4,0.65,2015,70%,N,340.56,326.20,333.95,246.83
ROXY SQUARE,"50 EAST COAST ROAD, SINGAPORE 428769",Commercial Building,Retail,Large,1990,N/A,N/A,N/A,"79,471",49%,80%,576,Water Cooled Chilled Water Plant,19,N/A,N/A,49%,N,161.70,158.22,159.11,126.64
FURAMA CITY CENTRE SINGAPORE,"60 EU TONG SEN STREET, SINGAPORE 059804",Commercial Building,Hotel,Large,1984,Platinum,2017,Existing Building for Non-Residential buildings (version 3),"25,857",100%,90%,445,Water Cooled Chilled Water Plant,10,0.59,2017,94%,N,235.37,231.81,233.64,194.83
GRAND HYATT SINGAPORE,"10 SCOTTS ROAD, SINGAPORE 228211",Commercial Building,Hotel,Large,1970,Gold,2020,Existing Building for Non-Residential buildings (version 3),"84,230",74%,85%,677,Water Cooled Chilled Water Plant,14,0.57,2016,45%,N,226.03,215.54,215.25,159.59
THE SYNERGY,"1 INTERNATIONAL BUSINESS PARK, SINGAPORE 609917",Commercial Building,Office,Large,1998,N/A,N/A,N/A,"41,363",68%,83%,N/A,Water Cooled Chilled Water Plant,21,1.27,2013,12%,N,246.20,231.35,238.64,197.31
SAMSUNG HUB,"3 CHURCH STREET, SINGAPORE 049483",Commercial Building,Office,Large,2005,GoldPlus,2018,Existing Building for Non-Residential buildings (version 3),"27,562",98%,94%,N/A,Water Cooled Chilled Water Plant,3,0.62,2017,90%,N,178.16,180.96,187.94,176.38
ION ORCHARD,"2 ORCHARD TURN, SINGAPORE 238801",Commercial Building,Retail,Large,2011,Gold,2016,Existing Building for Non-Residential buildings (version 2.1),"87,361",94%,98%,N/A,Water Cooled Chilled Water Plant,8,0.73,2017,100%,N,484.92,470.67,475.02,403.39
STAMFORD COURT,"61 STAMFORD ROAD, SINGAPORE 178892",Commercial Building,Office,Small,1996,Platinum,2019,Existing Building for Non-Residential buildings (version 3),"6,832",93%,90%,N/A,Water Cooled Chilled Water Plant,1,0.63,2020,40%,N,270.19,281.70,250.20,146.64
FARRER SQUARE,"10 FARRER PARK STATION ROAD, SINGAPORE 217564",Commercial Building,Hotel,Small,2017,GoldPlus,2016,New Building for Non-Residential buildings (version 4.1),"8,657",70%,65%,300,Water Cooled Chilled Water Plant,3,0.54,2018,60%,N,297.12,503.05,515.62,441.85
HOLIDAY INN EXPRESS SINGAPORE CLARKE QUAY,"2 MAGAZINE ROAD, SINGAPORE 059573",Commercial Building,Hotel,Small,2014,Platinum,2017,New Building for Non-Residential buildings (version 4),"11,783",74%,87%,442,Water Cooled Chilled Water Plant,6,0.64,2017,68%,N,263.77,262.91,268.19,228.91
THE CRIMSON,"31 SCIENCE PARK ROAD, SINGAPORE 117611",Commercial Building,Office,Small,1997,N/A,N/A,N/A,"11,291",94%,7%,N/A,Water Cooled Chilled Water Plant,1,0.7,2017,30%,N,315.62,284.91,281.14,256.62
SCOTTS SQUARE,"6 SCOTTS ROAD, SINGAPORE 228209",Commercial Building,Retail,Small,2011,N/A,N/A,N/A,"12,161",92%,98%,N/A,Water Cooled Chilled Water Plant,8,0.69,2013,20%,N,471.29,476.15,467.71,430.47
CITY HOUSE,"36 ROBINSON ROAD, SINGAPORE 068877",Commercial Building,Office,Large,1984,Platinum,2018,Existing Building for Non-Residential buildings (version 3),"20,180",64%,100%,N/A,Water Cooled Chilled Water Plant,8,0.59,2018,0%,N,134.35,114.14,124.87,106.92
SHANGRI-LA HOTEL,"22 ORANGE GROVE ROAD, SINGAPORE 258350",Commercial Building,Hotel,Large,1972,Gold,2017,Existing Building for Non-Residential buildings (version 3),"79,709",84%,49%,792,Water Cooled Chilled Water Plant,20,0.7,2017,65%,N,333.04,365.29,353.32,264.74
OCBC CENTRE,"65 CHULIA STREET, SINGAPORE 049513",Commercial Building,Office,Large,1979,Gold,2016,Existing Building for Non-Residential buildings (version 2.1),"75,079",67%,90%,N/A,Water Cooled Chilled Water Plant,9,0.79,2014,40%,N,200.08,199.27,199.94,172.67
OCBC CENTRE SOUTH,"18 CHURCH STREET, SINGAPORE 049479",Commercial Building,Office,Small,1986,Gold,2016,Existing Building for Non-Residential buildings (version 2.1),"11,047",80%,100%,N/A,Water Cooled Chilled Water Plant,9,0.7,2016,30%,N,383.85,397.30,399.79,361.59
N/A,"63 CHULIA STREET, SINGAPORE 049514",Commercial Building,Office,Large,1996,Gold,2016,Existing Building for Non-Residential buildings (version 2.1),"22,518",80%,100%,N/A,Water Cooled Chilled Water Plant,9,0.73,2016,40%,N,196.02,201.06,186.39,146.57
YISHUN 10 CINEMA COMPLEX,"51 YISHUN CENTRAL 1, SINGAPORE 768794",Commercial Building,Retail,Small,1992,N/A,N/A,N/A,"5,574",90%,100%,N/A,Others,20,N/A,N/A,100%,N,538.10,403.63,512.66,433.63
DAS SPEKTRUM@CBP,"9 CHANGI BUSINESS PARK VISTA, SINGAPORE 486041",Commercial Building,Office,Small,2014,Platinum,2020,New Building for Non-Residential buildings (version 4),"12,767",81%,100%,N/A,District Cooling Plant,10,N/A,N/A,44%,N,158.08,161.33,156.74,148.66
INFINITE STUDIOS,"21 MEDIA CIRCLE, SINGAPORE 138562",Commercial Building,Office,Large,2014,GoldPlus,2019,New Building for Non-Residential buildings (version 4),"20,484",88%,90%,N/A,Water Cooled Chilled Water Plant,8,0.64,N/A,20%,N,334.26,327.79,324.05,297.46
SANDCRAWLER,"1 FUSIONOPOLIS VIEW, SINGAPORE 138577",Commercial Building,Office,Large,2013,Platinum,2019,Existing Building for Non-Residential buildings (version 3),"22,495",74%,100%,N/A,District Cooling Plant,11.5,N/A,N/A,45%,Y,291.63,292.15,277.54,256.61
N/A,"79 ANSON ROAD, SINGAPORE 079906",Commercial Building,Office,Large,1992,GoldPlus,2019,Existing Building for Non-Residential buildings (version 3),"26,866",82%,85%,N/A,Water Cooled Chilled Water Plant,1,0.59,2018,70%,N,180.00,134.85,155.24,128.24
YEN SAN BUILDING,"268 ORCHARD ROAD, SINGAPORE 238856",Commercial Building,Retail,Large,2014,N/A,N/A,N/A,"16,971",95%,30%,N/A,Water Cooled Chilled Water Plant,6,0.79,2017,20%,N,117.25,108.78,109.34,111.51
THE METROPOLIS,"9 NORTH BUONA VISTA DRIVE, SINGAPORE 138588",Commercial Building,Office,Large,2013,Platinum,2017,New Building for Non-Residential buildings (version 3),"100,096",100%,100%,N/A,Water Cooled Chilled Water Plant,6,0.57,2017,20%,Y,211.09,207.16,211.98,172.00
STANDARD CHARTERED @ CHANGI 2,"9 CHANGI BUSINESS PARK CRESCENT, SINGAPORE 486005",Commercial Building,Office,Large,2014,Gold,2020,New Building for Non-Residential buildings (version 4),"18,365",82%,95%,N/A,District Cooling Plant,5,N/A,N/A,90%,N,120.20,124.95,116.76,89.71
STANDARD CHARTERED @ CHANGI,"7 CHANGI BUSINESS PARK CRESCENT, SINGAPORE 486028",Commercial Building,Office,Large,2009,Platinum,2019,Existing Building for Non-Residential buildings (version 3),"27,076",81%,85%,N/A,District Cooling Plant,10,N/A,N/A,0%,Y,195.37,191.07,186.35,165.19
POPULOUS HOTEL,"23 MIDDLE ROAD, SINGAPORE 188933",Commercial Building,Hotel,Small,2018,N/A,N/A,N/A,"2,122",78%,45%,80,Others,2,N/A,N/A,100%,N,N/A,144.18,310.21,255.67
"LOT ONE, SHOPPERS' MALL","21 CHOA CHU KANG AVENUE 4, SINGAPORE 689812",Commercial Building,Retail,Large,1996,Gold,2020,Existing Building for Non-Residential buildings (version 2.1),"31,011",100%,99%,N/A,Water Cooled Chilled Water Plant,1,0.71,2019,60%,N,573.54,552.24,509.49,471.41
MIWORLD,"9 INTERNATIONAL BUSINESS PARK, SINGAPORE 609915",Commercial Building,Office,Small,2003,Gold,2019,New Building for Non-Residential buildings (version 4),"10,960",100%,100%,N/A,Water Cooled Chilled Water Plant,6,0.6,2019,85%,N,703.43,743.53,768.10,805.56
N/A,"10 INTERNATIONAL BUSINESS PARK, SINGAPORE 609928",Commercial Building,Office,Small,1997,N/A,N/A,N/A,"11,816",100%,100%,N/A,Water Cooled Chilled Water Plant,23,N/A,N/A,90%,N,1194.52,1181.18,1185.91,1221.88
CARLTON HOTEL,"76 BRAS BASAH ROAD, SINGAPORE 189558",Commercial Building,Hotel,Large,1987,N/A,N/A,N/A,"59,329",97%,90%,940,Water Cooled Chilled Water Plant,15,1.1,2019,85%,N,295.08,276.56,260.76,212.79
ORCHID HOTEL,"1 TRAS LINK, SINGAPORE 078867",Commercial Building,Hotel,Large,2012,N/A,N/A,N/A,"16,026",76%,85%,272,Others,6,N/A,N/A,70%,N,343.82,323.41,330.63,306.32
N/A,"22 CAVENAGH ROAD, SINGAPORE 229617",Commercial Building,Hotel,Small,2015,Legislated,2014,N/A,"8,140",96%,75%,263,Others,5,N/A,N/A,0%,N,308.43,282.93,285.34,266.65
HOTEL CHANCELLOR @ ORCHARD,"28 CAVENAGH ROAD, SINGAPORE 229635",Commercial Building,Hotel,Small,2015,Legislated,2015,N/A,"13,742",92%,75%,488,Others,5,N/A,N/A,0%,N,279.02,275.46,303.59,228.42
"PARKROYAL COLLECTION PICKERING, SINGAPORE","3 UPPER PICKERING STREET, SINGAPORE 058289",Commercial Building,Hotel,Large,2012,Platinum,2017,New Building for Non-Residential buildings (version 3),"29,227",77%,86%,367,Water Cooled Chilled Water Plant,7,0.65,2017,60%,Y,302.35,309.33,320.87,270.09
YEW TEE SQUARE,"623 CHOA CHU KANG STREET 62, SINGAPORE 680623",Commercial Building,Retail,Small,1996,Gold,2018,Existing Building for Non-Residential buildings (version 2.1),"5,659",37%,100%,N/A,Others,5,0.29,2018,57%,N,661.61,628.59,579.29,136.27
WESTGATE TOWER,"1 GATEWAY DRIVE, SINGAPORE 608531",Commercial Building,Mixed Development,Omit,2013,Platinum,2018,New Building for Non-Residential buildings (version 4.1),"94,046",72%,95%,N/A,Others,0,N/A,N/A,80%,N,351.98,352.76,337.82,289.33
THE MENDEL,"12 SCIENCE PARK DRIVE, SINGAPORE 118225",Commercial Building,Office,Omit,2013,GoldPlus,2013,New Building for Non-Residential buildings (version 4),"75,269",69%,100%,N/A,Water Cooled Chilled Water Plant,7,0.65,N/A,100%,N,246.25,255.94,265.44,249.44
CINTECH II BUILDING,"75 SCIENCE PARK DRIVE, SINGAPORE 118255",Commercial Building,Office,Omit,1988,GoldPlus,2019,Existing Non-Residental Buildings ENRB: 2017,"54,211",86%,5%,N/A,District Cooling Plant,5,0.59,2019,100%,N,828.96,754.56,549.79,111.43
OASIS,"87 SCIENCE PARK DRIVE, SINGAPORE 118260",Commercial Building,Retail,Small,1996,Certified,2019,Existing Non-Residental Buildings ENRB: 2017,"6,100",100%,80%,N/A,Water Cooled Chilled Water Plant,4,0.65,2019,100%,N,62.33,55.40,60.79,51.40
THE RUTHERFORD,"89 SCIENCE PARK DRIVE, SINGAPORE 118261",Commercial Building,Office,Large,1995,Certified,2019,Existing Non-Residental Buildings ENRB: 2017,"20,143",80%,80%,N/A,Water Cooled Packaged Unit,4,0.65,2019,100%,N,242.78,211.60,184.67,163.41
NEXUS @ONE-NORTH,"3 FUSIONOPOLIS LINK, SINGAPORE 138543",Commercial Building,Office,Large,2013,Platinum,2019,New Building for Non-Residential buildings (version 4),"25,510",8%,100%,N/A,Water Cooled Chilled Water Plant,4,0.57,2017,20%,Y,25.06,24.75,23.48,19.96
NEUROS,"8 BIOMEDICAL GROVE, SINGAPORE 138665",Commercial Building,Office,Omit,2006,Gold,2019,New Building (version 1),"48,424",82%,100%,N/A,District Cooling Plant,7,N/A,N/A,0%,N,327.68,321.99,307.80,303.68
THOMSON PLAZA,"301 UPPER THOMSON ROAD, SINGAPORE 574408",Commercial Building,Retail,Large,1981,N/A,N/A,N/A,"29,413",100%,98%,N/A,Water Cooled Chilled Water Plant,5,N/A,N/A,30%,N,459.92,468.54,407.81,441.97
MAS BUILDING,"10 SHENTON WAY, SINGAPORE 079117",Commercial Building,Office,Large,1985,Platinum,2015,Existing Building for Non-Residential buildings (version 3),"55,206",74%,100%,N/A,Water Cooled Chilled Water Plant,2,0.54,2018,48%,N,139.28,129.83,129.73,116.38
CURRENCY HOUSE,"109 PASIR PANJANG ROAD, SINGAPORE 118536",Commercial Building,Office,Large,2001,N/A,N/A,N/A,"15,423",57%,100%,N/A,Water Cooled Chilled Water Plant,14,N/A,N/A,10%,N,188.64,184.74,187.74,199.60
TEMPCO TECHNOMINIUM,"16 AYER RAJAH CRESCENT, SINGAPORE 139965",Commercial Building,Office,Small,1999,N/A,N/A,N/A,"11,470",26%,90%,N/A,Others,1,N/A,N/A,70%,N,186.86,179.47,164.04,135.84
GUTHRIE HOUSE,"1 FIFTH AVENUE, SINGAPORE 268802",Commercial Building,Office,Small,1998,N/A,N/A,N/A,"8,908",100%,100%,N/A,Water Cooled Chilled Water Plant,2,0.58,N/A,0%,N,305.37,302.43,283.36,265.09
TAMPINES PLAZA 1,"3 TAMPINES CENTRAL 1, SINGAPORE 529540",Commercial Building,Office,Small,1999,N/A,N/A,N/A,"10,416",81%,100%,N/A,Water Cooled Chilled Water Plant,1,N/A,N/A,0%,N,251.44,187.66,165.00,129.78
TAMPINES PLAZA 2,"5 TAMPINES CENTRAL 1, SINGAPORE 529541",Commercial Building,Office,Small,1999,N/A,N/A,N/A,"10,417",81%,100%,N/A,Water Cooled Chilled Water Plant,1,N/A,N/A,0%,N,258.65,193.10,207.77,189.66
"FOUR POINTS BY SHERATON SINGAPORE, RIVERVIEW","382 HAVELOCK ROAD, SINGAPORE 169629",Commercial Building,Hotel,Large,1985,Gold,2017,Existing Building for Non-Residential buildings (version 2.1),"21,089",84%,89%,476,Water Cooled Chilled Water Plant,15,0.87,2016,90%,N,294.41,295.03,290.12,218.94
HEALTH SCIENCES AUTHORITY BUILDING,"11 OUTRAM ROAD, SINGAPORE 169078",Commercial Building,Office,Large,1988,Platinum,2019,Existing Building for Non-Residential buildings (version 3),"17,284",91%,95%,N/A,Water Cooled Chilled Water Plant,1,0.59,2019,0%,N,447.55,448.30,454.46,447.36
CAPITAL SQUARE,"23 CHURCH STREET, SINGAPORE 049481",Commercial Building,Office,Large,1998,GoldPlus,2018,Existing Building for Non-Residential buildings (version 3),"36,196",86%,100%,N/A,Water Cooled Chilled Water Plant,4,0.6,2016,30%,N,322.87,328.29,348.24,298.43
8 ON CLAYMORE,"8 CLAYMORE HILL, SINGAPORE 229572",Commercial Building,Hotel,Small,2011,Gold,2012,Existing Building for Non-Residential buildings (version 2.1),"13,539",97%,70%,85,Water Cooled Chilled Water Plant,8,N/A,N/A,50%,N,203.88,200.66,198.73,215.22
BUGIS CUBE,"470 NORTH BRIDGE ROAD, SINGAPORE 188735",Commercial Building,Retail,Small,1984,N/A,N/A,N/A,"6,188",78%,90%,N/A,Others,3,N/A,N/A,100%,N,291.70,336.25,309.60,248.72
KATONG SQUARE,"86 EAST COAST ROAD, SINGAPORE 428788",Commercial Building,Hotel,Large,2016,Platinum,2015,New Building for Non-Residential buildings (version 4.1),"25,200",94%,100%,582,Water Cooled Chilled Water Plant,2,0.65,N/A,0%,N,258.18,260.70,239.56,187.05
N/A,"71 ROBINSON ROAD, SINGAPORE 068895",Commercial Building,Office,Large,2009,Gold,2019,Existing Building for Non-Residential buildings (version 2.1),"24,089",98%,100%,N/A,Water Cooled Chilled Water Plant,7,0.6,2018,15%,N,228.55,221.14,226.69,177.10
THE GEMINI,"41 SCIENCE PARK ROAD, SINGAPORE 117610",Commercial Building,Office,Large,1998,Certified,2020,Existing Non-Residental Buildings ENRB: 2017,"32,629",82%,64%,N/A,Others,2,N/A,N/A,100%,N,408.21,356.40,316.04,277.19
THE ARIES,"51 SCIENCE PARK ROAD, SINGAPORE 117586",Commercial Building,Office,Small,1999,Certified,2020,Existing Non-Residental Buildings ENRB: 2017,"14,695",95%,90%,N/A,Others,3,N/A,N/A,100%,N,820.57,723.88,750.68,752.78
HONEYWELL BUILDING,"17 CHANGI BUSINESS PARK CENTRAL 1, SINGAPORE 486073",Commercial Building,Office,Large,2000,Certified,2019,Existing Non-Residental Buildings ENRB: 2017,"18,122",77%,80%,N/A,District Cooling Plant,18,N/A,N/A,45%,N,114.39,117.96,117.55,100.60
N/A,"3 CHANGI BUSINESS PARK VISTA, SINGAPORE 486051",Commercial Building,Office,Large,2002,Gold,2019,Existing Building for Non-Residential buildings (version 2.1),"19,225",80%,60%,N/A,District Cooling Plant,16,N/A,N/A,0%,N,93.62,101.97,98.48,85.46
PLAZA 8 @ CBP,"1 CHANGI BUSINESS PARK CRESCENT, SINGAPORE 486025",Commercial Building,Office,Large,2009,Gold,2019,New Building for Non-Residential buildings (version 3),"32,504",77%,97%,N/A,District Cooling Plant,7,N/A,N/A,70%,N,168.84,164.51,158.32,129.10
ONE @ CHANGI CITY,"1 CHANGI BUSINESS PARK CENTRAL 1, SINGAPORE 486036",Commercial Building,Office,Large,2012,GoldPlus,2019,New Building for Non-Residential buildings (version 3),"71,158",74%,95%,N/A,Water Cooled Chilled Water Plant,4,0.59,2015,15%,N,235.14,234.18,226.37,199.87
N/A,"3 CHANGI BUSINESS PARK CRESCENT, SINGAPORE 486026",Commercial Building,Office,Large,2009,N/A,N/A,N/A,"21,167",89%,100%,N/A,District Cooling Plant,9,N/A,N/A,50%,N,381.83,359.49,347.38,290.50
N/A,"1 CHANGI BUSINESS PARK AVENUE 1, SINGAPORE 486058",Commercial Building,Office,Small,2014,Certified,2019,Existing Non-Residental Buildings ENRB: 2017,"19,102",98%,97%,N/A,District Cooling Plant,8,N/A,N/A,50%,N,174.62,192.96,222.30,128.42
DBS ASIA HUB,"2 CHANGI BUSINESS PARK CRESCENT, SINGAPORE 486029",Commercial Building,Office,Large,2008,Platinum,2018,Existing Building for Non-Residential buildings (version 3),"38,774",89%,100%,N/A,District Cooling Plant,3,N/A,N/A,90%,Y,351.96,322.07,319.81,298.51
LAND TRANSPORT AUTHORITY,"10 SIN MING DRIVE, SINGAPORE 575701",Commercial Building,Office,Small,1983,Platinum,2011,New Building for Non-Residential buildings (version 3),"12,893",93%,100%,N/A,Water Cooled Chilled Water Plant,7,1.45,2011,2%,Y,297.12,295.41,309.21,282.80
LAND TRANSPORT AUTHORITY,"1 HAMPSHIRE ROAD, SINGAPORE 219428",Commercial Building,Office,Large,1997,N/A,N/A,N/A,"37,923",79%,100%,N/A,Others,4,N/A,N/A,0%,N,226.45,230.05,231.32,185.36
BEACH CENTRE,"15 BEACH ROAD, SINGAPORE 189677",Commercial Building,Office,Small,1985,Platinum,2016,New Building for Non-Residential buildings (version 4.1),"7,669",93%,94%,N/A,Water Cooled Chilled Water Plant,4,N/A,N/A,100%,Y,154.81,179.38,164.50,125.61
ORCHARD HOTEL SINGAPORE,"442 ORCHARD ROAD, SINGAPORE 238879",Commercial Building,Hotel,Large,1980,GoldPlus,2020,Existing Building for Non-Residential buildings (version 3),"44,097",80%,88%,656,Water Cooled Chilled Water Plant,8,0.58,2020,30%,N,388.11,375.93,365.26,276.97
HOTEL GRAND PACIFIC,"101 VICTORIA STREET, SINGAPORE 188018",Commercial Building,Hotel,Small,1971,N/A,N/A,N/A,"14,950",87%,80%,240,Water Cooled Chilled Water Plant,5,0.83,2018,35%,N,239.02,236.37,235.69,181.04
TIONG BAHRU PLAZA,"302 TIONG BAHRU ROAD, SINGAPORE 168732",Commercial Building,Retail,Omit,1996,Platinum,2016,Existing Building for Non-Residential buildings (version 3),"48,234",93%,95%,N/A,Water Cooled Chilled Water Plant,3,0.61,2019,100%,Y,378.17,375.09,370.76,348.83
N/A,"1 PASIR RIS CENTRAL STREET 3, SINGAPORE 518457",Commercial Building,Retail,Large,1996,Platinum,2018,Existing Building for Non-Residential buildings (version 3),"22,076",80%,98%,N/A,Water Cooled Chilled Water Plant,5,0.6,2017,70%,N,565.22,548.25,568.06,522.36
N/A,"70 BIOPOLIS STREET, SINGAPORE 138547",Commercial Building,Office,Large,2013,Gold,2018,New Building for Non-Residential buildings (version 4),"33,363",83%,75%,N/A,District Cooling Plant,3,N/A,N/A,0%,Y,312.23,293.57,285.60,280.22
SINGAPORE SCIENCE CENTRE,"15 SCIENCE CENTRE ROAD, SINGAPORE 609081",Commercial Building,Office,Large,1975,GoldPlus,2019,Existing Building for Non-Residential buildings (version 3),"31,296",90%,75%,N/A,Water Cooled Chilled Water Plant,1,0.6,2018,100%,N,242.90,221.99,221.03,159.77
POLICE CANTONMENT COMPLEX,"391 NEW BRIDGE ROAD, SINGAPORE 088762",Commercial Building,Office,Large,2001,Platinum,2019,Existing Building for Non-Residential buildings (version 3),"106,793",26%,70%,N/A,Water Cooled Chilled Water Plant,2,0.52,2019,1%,N,229.61,236.87,225.43,216.86
N/A,"18 NAPIER ROAD, SINGAPORE 258510",Commercial Building,Office,Large,2015,Platinum,2014,New Building for Non-Residential buildings (version 4),"15,211",80%,90%,N/A,Water Cooled Chilled Water Plant,5,N/A,N/A,75%,Y,113.44,99.21,93.15,82.20
MAYBANK TOWER,"2 BATTERY ROAD, SINGAPORE 049907",Commercial Building,Office,Small,2001,N/A,N/A,N/A,"14,989",99%,100%,N/A,Water Cooled Chilled Water Plant,17,N/A,N/A,40%,N,336.96,354.60,351.78,315.98
M HOTEL,"81 ANSON ROAD, SINGAPORE 079908",Commercial Building,Hotel,Large,1985,GoldPlus,2018,Existing Building for Non-Residential buildings (version 3),"31,033",73%,89%,415,Water Cooled Chilled Water Plant,15,0.67,2018,100%,N,225.05,216.38,209.80,161.23
LINK@896,"896 DUNEARN ROAD, SINGAPORE 589472",Commercial Building,Mixed Development,Large,1988,N/A,N/A,N/A,"23,500",90%,73%,N/A,Water Cooled Chilled Water Plant,30,N/A,N/A,38%,N,202.08,178.33,170.38,191.56
ROBINSON POINT,"39 ROBINSON ROAD, SINGAPORE 068911",Commercial Building,Office,Large,1997,Gold,2013,Existing Building for Non-Residential buildings (version 2.1),"15,724",82%,83%,N/A,Water Cooled Chilled Water Plant,18,0.82,2013,4%,N,210.23,201.16,189.22,151.24
TANJONG PAGAR CENTRE,"7 WALLICH STREET, SINGAPORE 078884",Commercial Building,Office,Large,2016,Platinum,2013,New Building for Non-Residential buildings (version 4),"129,726",89%,95%,223,Water Cooled Chilled Water Plant,2,0.65,2018,37%,Y,200.40,247.39,252.21,326.89
N/A,"101 BUKIT PANJANG ROAD, SINGAPORE 679910",Commercial Building,Office,Small,2019,GoldPlus,2019,Existing Building for Non-Residential buildings (version 3),"13,855",9%,100%,N/A,Others,7,N/A,N/A,0%,N,N/A,N/A,84.63,62.69
MANULIFE TOWER,"8 CROSS STREET, SINGAPORE 048424",Commercial Building,Office,Large,1999,Gold,2020,Existing Non-Residental Buildings ENRB: 2017,"42,561",81%,80%,N/A,Water Cooled Chilled Water Plant,1,0.6,2019,18%,N,206.23,150.96,149.12,124.07
